,UNICODE,CHARACTER,RADICAL
3738,U+5C9A,岚,山 风
3739,U+5C9B,岛,&CDP-8964; 山
3740,U+5C9C,岜,山 巴
3741,U+5C9D,岝,山 乍
3742,U+5C9E,岞,山 乍
3743,U+5C9F,岟,山 央
3744,U+5CA0,岠,山 巨
3745,U+5CA1,岡,冂 &CDP-8CC7;
3746,U+5CA2,岢,山 &CDP-8974; 口
3747,U+5CA3,岣,山 勹 口
3748,U+5CA4,岤,山 穴
3749,U+5CA5,岥,山 皮
3750,U+5CA6,岦,山 立
3751,U+5CA7,岧,山 刀 口
3752,U+5CA8,岨,山 且
3753,U+5CA9,岩,山 石
3754,U+5CAA,岪,山 弗
3755,U+5CAB,岫,山 由
3756,U+5CAC,岬,山 甲
3757,U+5CAD,岭,山 𠆢 丶 龴
3758,U+5CAE,岮,山 宀 匕
3759,U+5CAF,岯,山 不 一
3760,U+5CB0,岰,山 幺 力
3761,U+5CB1,岱,亻 弋 山
3762,U+5CB2,岲,山 口 儿
3763,U+5CB3,岳,丘 山
3764,U+5CB4,岴,山 丘
3765,U+5CB5,岵,山 十 口
3766,U+5CB6,岶,山 白
3767,U+5CB7,岷,山 民
3768,U+5CB8,岸,山 厂 干
3769,U+5CB9,岹,山 刀 口
3770,U+5CBA,岺,山 𠆢 丶 龴
3771,U+5CBB,岻,山 氏 丶
3772,U+5CBC,岼,山 平
3773,U+5CBD,岽,山 东
3774,U+5CBE,岾,山 ⺊ 囗
3775,U+5CBF,岿,山 &CDP-8968; 彐
3776,U+5CC0,峀,山 由
3777,U+5CC1,峁,山 &CDP-8D41; 卩
3778,U+5CC2,峂,山 夂 &CDP-8971;
3779,U+5CC3,峃,&GT-K01443; 山
3780,U+5CC4,峄,山 又 &CDP-8BF1;
3781,U+5CC5,峅,山 厶 廾
3782,U+5CC6,峆,山 &CDP-8AFC; 口
3783,U+5CC7,峇,山 &CDP-8AFC; 口
3784,U+5CC8,峈,山 夂 口
3785,U+5CC9,峉,山 夂 口
3786,U+5CCA,峊,𠂤 山
3787,U+5CCB,峋,山 勹 日
3788,U+5CCC,峌,山 &I-GT-03877; 土
3789,U+5CCD,峍,山 聿
3790,U+5CCE,峎,山 艮
3791,U+5CCF,峏,山 而
3792,U+5CD0,峐,山 亠 &GT-00154; 人
3793,U+5CD1,峑,山 𠆢 王
3794,U+5CD2,峒,山 𠔼 口
3795,U+5CD3,峓,山 夷
3796,U+5CD4,峔,山 老
3797,U+5CD5,峕,山 亠 日
3798,U+5CD6,峖,山 宀 女
3799,U+5CD7,峗,山 ⺈ 厂 㔾
3800,U+5CD8,峘,山 一 日 一
3801,U+5CD9,峙,山 土 寸
3802,U+5CDA,峚,山 大 土
3803,U+5CDB,峛,山 歹 刂
3804,U+5CDC,峜,山 𠆢 止
3805,U+5CDD,峝,山 𠔼 口
3806,U+5CDE,峞,山 ⺈ 厂 㔾
3807,U+5CDF,峟,山 𠂇 月
3808,U+5CE0,峠,山 𠧗
3809,U+5CE1,峡,山 夹
3810,U+5CE2,峢,山 歹 刂
3811,U+5CE3,峣,山 &CDP-89D9; 兀
3812,U+5CE4,峤,山 丿 大 &CDP-89AB;
3813,U+5CE5,峥,山 ⺈ &CDP-8BFE;
3814,U+5CE6,峦,亠 &CDP-8CB5; 山
3815,U+5CE7,峧,山 亠 父
3816,U+5CE8,峨,山 我
3817,U+5CE9,峩,山 我
3818,U+5CEA,峪,山 谷
3819,U+5CEB,峫,山 牙 ⻏
3820,U+5CEC,峬,山 甫
3821,U+5CED,峭,山 ⺌ &CDP-8958;
3822,U+5CEE,峮,山 尹 口
3823,U+5CEF,峯,山 夂 丰
3824,U+5CF0,峰,山 夂 丰
3825,U+5CF1,峱,犭 丑 山
3826,U+5CF2,峲,山 禾 刂
3827,U+5CF3,峳,山 &CDP-8B7A; 攵
3828,U+5CF4,峴,山 見
3829,U+5CF5,峵,山 宀 𠂇 厶
3830,U+5CF6,島,&CDP-8CBB; 山
3831,U+5CF7,峷,山 辛
3832,U+5CF8,峸,山 戊 𠃌
3833,U+5CF9,峹,&CDP-8AFC; 朩 山
3834,U+5CFA,峺,山 更
3835,U+5CFB,峻,山 厶 &GT-K00059; 夂
3836,U+5CFC,峼,山 ⺧ 口
3837,U+5CFD,峽,山 夾
3838,U+5CFE,峾,氵 斤 山
3839,U+5CFF,峿,山 五 口
3840,U+5D00,崀,山 丶 艮
3841,U+5D01,崁,山 土 欠
3842,U+5D02,崂,山 𫇦 力
3843,U+5D03,崃,山 来
3844,U+5D04,崄,山 &CDP-8AFC; 𭕄 一
3845,U+5D05,崅,山 角
3846,U+5D06,崆,山 穴 工
3847,U+5D07,崇,山 宀 示
3848,U+5D08,崈,宀 示 山
3849,U+5D09,崉,山 水 日
3850,U+5D0A,崊,山 木 木
3851,U+5D0B,崋,山 &CDP-8BF8;
3852,U+5D0C,崌,山 尸 十 口
3853,U+5D0D,崍,山 來
3854,U+5D0E,崎,山 大 &CDP-8974; 口
3855,U+5D0F,崏,山 氏 日
3856,U+5D10,崐,山 日 比
3857,U+5D11,崑,山 日 比
3858,U+5D12,崒,山 𠅃 十
3859,U+5D13,崓,山 囗 十 口
3860,U+5D14,崔,山 隹
3861,U+5D15,崕,山 厂 土 土
3862,U+5D16,崖,山 厂 土 土
3863,U+5D17,崗,山 冂 &CDP-8CC7;
3864,U+5D18,崘,山 &CDP-8AFC; 𠕁
3865,U+5D19,崙,山 &CDP-8AFC; 𠕁
3866,U+5D1A,崚,山 土 &GT-K00059; 夂
3867,U+5D1B,崛,山 尸 屮 凵
3868,U+5D1C,崜,山 垂
3869,U+5D1D,崝,山 青
3870,U+5D1E,崞,山 亠 口 子
3871,U+5D1F,崟,山 金
3872,U+5D20,崠,山 東
3873,U+5D21,崡,山 凵 &GT-K02033;
3874,U+5D22,崢,山 爫 &CDP-8BFE;
3875,U+5D23,崣,山 禾 女
3876,U+5D24,崤,山 㐅 𠂇 月
3877,U+5D25,崥,山 &CDP-89BE; 十
3878,U+5D26,崦,山 大 电
3879,U+5D27,崧,山 木 八 厶
3880,U+5D28,崨,山 疌
3881,U+5D29,崩,山 月 月
3882,U+5D2A,崪,山 𠅃 十
3883,U+5D2B,崫,山 尸 屮 凵
3884,U+5D2C,崬,山 東
3885,U+5D2D,崭,山 车 斤
3886,U+5D2E,崮,山 囗 十 口
3887,U+5D2F,崯,山 金
3888,U+5D30,崰,山 巛 田
3889,U+5D31,崱,山 貝 刂
3890,U+5D32,崲,山 白 王
3891,U+5D33,崳,山 &CDP-8AFC; 月 刂
3892,U+5D34,崴,山 戊 一 女
3893,U+5D35,崵,山 日 一 勹 &CDP-89A6;
3894,U+5D36,崶,山 土 土 寸
3895,U+5D37,崷,山 丶 丿 酉
3896,U+5D38,崸,山 頁
3897,U+5D39,崹,山 &CDP-8BEC; 巾
3898,U+5D3A,崺,山 &U-i001+3AC3; 也
3899,U+5D3B,崻,山 彳 土 寸
3900,U+5D3C,崼,山 日 𤴓
3901,U+5D3D,崽,山 田 心
3902,U+5D3E,崾,山 覀 女
3903,U+5D3F,崿,山 口 口 一 丂
3904,U+5D40,嵀,山 木 丶 王
3905,U+5D41,嵁,山 &CDP-88C8; 匚 儿
3906,U+5D42,嵂,山 彳 聿
3907,U+5D43,嵃,山 文 &CDP-8D5A;
3908,U+5D44,嵄,山 𦍌 大
3909,U+5D45,嵅,山 戊 一 口
3910,U+5D46,嵆,𮂱 山
3911,U+5D47,嵇,禾 尤 山
3912,U+5D48,嵈,山 爫 一 𠂇 又
3913,U+5D49,嵉,山 亠 口 冖 丁
3914,U+5D4A,嵊,山 乘
3915,U+5D4B,嵋,山 𠃜 目
3916,U+5D4C,嵌,山 𣢟
3917,U+5D4D,嵍,矛 攵 山
3918,U+5D4E,嵎,山 禺
3919,U+5D4F,嵏,山 㚇
3920,U+5D50,嵐,山 風
3921,U+5D51,嵑,山 曰 勹 𠃊 人
3922,U+5D52,嵒,口 口 口 山
3923,U+5D53,嵓,山 口 口 口
3924,U+5D54,嵔,山 田 一 &CDP-8CC6;
3925,U+5D55,嵕,山 㚇
3926,U+5D56,嵖,山 木 日 一
3927,U+5D57,嵗,山 &CDP-8CB3;
3928,U+5D58,嵘,山 艹 冖 木
3929,U+5D59,嵙,山 禾 斗
3930,U+5D5A,嵚,山 钅 欠
3931,U+5D5B,嵛,山 &CDP-8AFC; 月 刂
3932,U+5D5C,嵜,山 &CDP-8BAE; &CDP-8974; 口
3933,U+5D5D,嵝,山 米 女
3934,U+5D5E,嵞,&CDP-8AFC; 朩 山 山
3935,U+5D5F,嵟,山 厂 隹
3936,U+5D60,嵠,山 &CDP-8CC5; 大
3937,U+5D61,嵡,山 八 厶 羽
3938,U+5D62,嵢,山 𠆢 丶 &CDP-89CE; 口
3939,U+5D63,嵣,山 广 &CDP-8CC1;
3940,U+5D64,嵤,𤇾 山
3941,U+5D65,嵥,山 舛 木
3942,U+5D66,嵦,山 山 豆
3943,U+5D67,嵧,山 &CDP-8C69; 田
3944,U+5D68,嵨,山 &CDP-89DF; 灬
3945,U+5D69,嵩,山 亠 口 冂 口
3946,U+5D6A,嵪,山 亠 口 冂 口
3947,U+5D6B,嵫,山 䒑 𢆶
3948,U+5D6C,嵬,山 鬼
3949,U+5D6D,嵭,山 &CDP-8BEC; 方
3950,U+5D6E,嵮,山 十 &CDP-8BA5; &GT-K00059;
3951,U+5D6F,嵯,山 ⺶ 工
3952,U+5D70,嵰,山 䒑 &CDP-8CDE;
3953,U+5D71,嵱,山 宀 谷
3954,U+5D72,嵲,山 自 木
3955,U+5D73,嵳,山 ⺶ 工
3956,U+5D74,嵴,山 &CDP-88D2; &CDP-8958;
3957,U+5D75,嵵,山 日 土 寸
3958,U+5D76,嵶,山 𢎥 𢎥
3959,U+5D77,嵷,山 彳 &CDP-8BB0;
3960,U+5D78,嵸,山 彳 &CDP-8BB0;
3961,U+5D79,嵹,山 弓 口 虫
3962,U+5D7A,嵺,山 羽 㐱
3963,U+5D7B,嵻,山 广 隶
3964,U+5D7C,嵼,山 文 &CDP-8C45;
3965,U+5D7D,嵽,山 &CDP-8C4B; 冖 巾
3966,U+5D7E,嵾,山 𠫯 彡
3967,U+5D7F,嵿,山 丁 頁
3968,U+5D80,嶀,山 雨 一 丂
3969,U+5D81,嶁,山 &CDP-89C5; 女
3970,U+5D82,嶂,山 立 日 十
3971,U+5D83,嶃,山 車 斤
3972,U+5D84,嶄,山 車 斤
3973,U+5D85,嶅,&CDP-8DB2; 攵 山
3974,U+5D86,嶆,山 &CDP-8D61; 曰
3975,U+5D87,嶇,山 匚 口 口 口
3976,U+5D88,嶈,山 爿 &GT-09333;
3977,U+5D89,嶉,山 口 隹
3978,U+5D8A,嶊,山 扌 隹
3979,U+5D8B,嶋,山 鳥
3980,U+5D8C,嶌,山 鳥
3981,U+5D8D,嶍,山 羽 白
3982,U+5D8E,嶎,山 𫵖 寸
3983,U+5D8F,嶏,山 厂 酉 己
3984,U+5D90,嶐,山 ⻖ &HD-IA-2D6B;
3985,U+5D91,嶑,山 &GT-K02380; 𧰨
3986,U+5D92,嶒,山 丶 丿 &CDP-8B63;
3987,U+5D93,嶓,山 釆 田
3988,U+5D94,嶔,山 金 欠
3989,U+5D95,嶕,山 隹 灬
3990,U+5D96,嶖,山 &CDP-8AFC; 口 羽
3991,U+5D97,嶗,山 𤇾 力
3992,U+5D98,嶘,山 木 戈 戈
3993,U+5D99,嶙,山 米 舛
3994,U+5D9A,嶚,山 𡗜 日 小
3995,U+5D9B,嶛,山 𡗜 日 小
3996,U+5D9C,嶜,山 旡 旡 曰
3997,U+5D9D,嶝,山 癶 豆
3998,U+5D9E,嶞,⻖ &CDP-8CA9; 山
3999,U+5D9F,嶟,山 丶 丿 酉 寸
4000,U+5DA0,嶠,山 丿 大 口 冂 口
4001,U+5DA1,嶡,山 厂 䒑 屮 欠
4002,U+5DA2,嶢,山 土 土 土 兀
4003,U+5DA3,嶣,山 隹 灬
4004,U+5DA4,嶤,山 土 土 土 兀
4005,U+5DA5,嶥,山 厂 䒑 屮 欠
4006,U+5DA6,嶦,山 ⺈ 厂 &CDP-8CC3;
4007,U+5DA7,嶧,山 ⺫ 土 𢆉
4008,U+5DA8,嶨,𦥯 山
4009,U+5DA9,嶩,山 曲 辰
4010,U+5DAA,嶪,山 业 䒑 未
4011,U+5DAB,嶫,山 业 䒑 未
4012,U+5DAC,嶬,山 𦍌 我
4013,U+5DAD,嶭,山 𠂤 辛
4014,U+5DAE,嶮,山 &CDP-8AFC; 口 口 人 人
4015,U+5DAF,嶯,山 口 耳 戈
4016,U+5DB0,嶰,山 角 &CDP-8C68;
4017,U+5DB1,嶱,山 艹 曰 勹 𠃊 人
4018,U+5DB2,嶲,山 隹 &CDP-8DDF;
4019,U+5DB3,嶳,山 豕 土 土
4020,U+5DB4,嶴,&CDP-8D7C; 大 山
4021,U+5DB5,嶵,山 ⺲ 非
4022,U+5DB6,嶶,山 彳 𡵉 攵
4023,U+5DB7,嶷,山 𠤕 &CDP-8CCE;
4024,U+5DB8,嶸,山 𤇾 木
4025,U+5DB9,嶹,山 &CDP-8D53; 一 口 寸
4026,U+5DBA,嶺,山 𠆢 丶 龴 頁
4027,U+5DBB,嶻,山 𢦏 隹
4028,U+5DBC,嶼,山 &CDP-8BA8; &CDP-8BC2;
4029,U+5DBD,嶽,山 犭 言 犬
4030,U+5DBE,嶾,山 &C4-4343;
4031,U+5DBF,嶿,山 雨 而
4032,U+5DC0,巀,山 小 隹 戈
4033,U+5DC1,巁,山 厂 艹 禺
4034,U+5DC2,巂,山 隹 &CDP-8C58; 口
4035,U+5DC3,巃,山 龍
4036,U+5DC4,巄,山 龍
4037,U+5DC5,巅,山 十 &CDP-8BA5; &GT-K00059; 页
4038,U+5DC6,巆,山 𤇾 口 口
4039,U+5DC7,巇,山 䖒 戈
4040,U+5DC8,巈,山 革 勹 米
4041,U+5DC9,巉,山 㲋 ⺈ &CDP-8BCB; 丶
4042,U+5DCA,巊,山 貝 貝 女
4043,U+5DCB,巋,山 &CDP-8CAB; 彐 冖 巾
4044,U+5DCC,巌,山 𭕄 厂 &CDP-8C5B; 攵
4045,U+5DCD,巍,山 禾 女 鬼
4046,U+5DCE,巎,山 頁 &GT-K00439; 巳 夂
4047,U+5DCF,巏,山 艹 &C5-4A7B;
4048,U+5DD0,巐,山 亠 口 冂 口 日 丿 廾
4049,U+5DD1,巑,山 ⺧ 儿 ⺧ 儿 貝
4050,U+5DD2,巒,䜌 山
4051,U+5DD3,巓,山 匕 目 𠃊 &GT-K00059; 頁
4052,U+5DD4,巔,山 十 &CDP-8BA5; &GT-K00059; 頁
4053,U+5DD5,巕,山 艹 𠂤 辛 女
4054,U+5DD6,巖,山 口 口 厂 &CDP-8C5B; 攵
4055,U+5DD7,巗,山 口 口 厂 &CDP-8C5B; 攵
4056,U+5DD8,巘,山 虍 鬲 犬
4057,U+5DD9,巙,山 丶 丿 頁 &GT-K00439; 巳 夂
4058,U+5DDA,巚,山 虍 鬲 犬
4059,U+5DDB,巛,巛
4060,U+5DDC,巜,巜
4061,U+5DDD,川,川
4062,U+5DDE,州,州
4063,U+5DDF,巟,亡 𫶧
4064,U+5DE0,巠,一 巛 工
4065,U+5DE1,巡,辶 巛
4066,U+5DE2,巢,巛 果
4067,U+5DE3,巣,𭕄 果
4068,U+5DE4,巤,巛 囗 人 &CDP-8D46;
4069,U+5DE5,工,工
4070,U+5DE6,左,𠂇 工
4071,U+5DE7,巧,工 丂
4072,U+5DE8,巨,巨
4073,U+5DE9,巩,工 几 丶
4074,U+5DEA,巪,巨 &CDP-89C8;
4075,U+5DEB,巫,巫
4076,U+5DEC,巬,工 几 夫
4077,U+5DED,巭,工 力 夫
4078,U+5DEE,差,⺶ 工
4079,U+5DEF,巯,𢀖 㐬
4080,U+5DF0,巰,一 巛 工 㐬
4081,U+5DF1,己,己
4082,U+5DF2,已,已
4083,U+5DF3,巳,巳
4084,U+5DF4,巴,巴
4085,U+5DF5,巵,𠂋 巴
4086,U+5DF6,巶,刀 口 巳
4087,U+5DF7,巷,龷 &GT-K00059; 巳
4088,U+5DF8,巸,𦣝 巳
4089,U+5DF9,巹,氶 一 己
4090,U+5DFA,巺,巳 巳 一 &GT-K00059;
4091,U+5DFB,巻,龹 己
4092,U+5DFC,巼,巴 口 𠤎
4093,U+5DFD,巽,巳 巳 龷 &GT-K00059;
4094,U+5DFE,巾,巾
4095,U+5DFF,巿,巿
4096,U+5E00,帀,一 巾
4097,U+5E01,币,丿 巾
4098,U+5E02,市,亠 巾
4099,U+5E03,布,𠂇 巾
4100,U+5E04,帄,巾 丁
4101,U+5E05,帅,&CDP-8968; 巾
4102,U+5E06,帆,巾 几 丶
4103,U+5E07,帇,帇
4104,U+5E08,师,&CDP-8968; 一 巾
4105,U+5E09,帉,巾 八 刀
4106,U+5E0A,帊,巾 巴
4107,U+5E0B,帋,氏 巾
4108,U+5E0C,希,㐅 𠂇 巾
4109,U+5E0D,帍,户 巾
4110,U+5E0E,帎,巾 冘
4111,U+5E0F,帏,巾 韦
4112,U+5E10,帐,巾 长
4113,U+5E11,帑,女 又 巾
4114,U+5E12,帒,亻 弋 巾
4115,U+5E13,帓,巾 末
4116,U+5E14,帔,巾 皮
4117,U+5E15,帕,巾 白
4118,U+5E16,帖,巾 ⺊ 囗
4119,U+5E17,帗,巾 犮
4120,U+5E18,帘,穴 巾
4121,U+5E19,帙,巾 丿 夫
4122,U+5E1A,帚,彐 冖 巾
4123,U+5E1B,帛,白 巾
4124,U+5E1C,帜,巾 口 &GT-K00059;
4125,U+5E1D,帝,&CDP-8BEC; 巾
4126,U+5E1E,帞,巾 一 白
4127,U+5E1F,帟,亠 &CDP-8CB5; 巾
4128,U+5E20,帠,臼 巾
4129,U+5E21,帡,巾 丶 丿 一 廾
4130,U+5E22,帢,巾 &CDP-8AFC; 口
4131,U+5E23,帣,龹 巾
4132,U+5E24,帤,女 口 巾
4133,U+5E25,帥,𠂤 巾
4134,U+5E26,带,&CDP-89D7; 冖 巾
4135,U+5E27,帧,巾 贝
4136,U+5E28,帨,巾 丶 丿 口 儿
4137,U+5E29,帩,巾 ⺌ &CDP-8958;
4138,U+5E2A,帪,巾 辰
4139,U+5E2B,師,𠂤 一 巾
4140,U+5E2C,帬,尹 口 巾
4141,U+5E2D,席,广 &CDP-8D40;
4142,U+5E2E,帮,丰 ⻏ 巾
4143,U+5E2F,帯,丗 冖 巾
4144,U+5E30,帰,&CDP-8968; 彐 冖 巾
4145,U+5E31,帱,巾 &CDP-897D; 寸
4146,U+5E32,帲,巾 丿 干 丿 干
4147,U+5E33,帳,巾 長
4148,U+5E34,帴,巾 戈 戈
4149,U+5E35,帵,巾 宀 夕 㔾
4150,U+5E36,帶,&CDP-8C4B; 冖 巾
4151,U+5E37,帷,巾 隹
4152,U+5E38,常,&GT-K05014; 巾
4153,U+5E39,帹,巾 立 女
4154,U+5E3A,帺,巾 &CDP-8B72; &GT-K00059;
4155,U+5E3B,帻,巾 龶 贝
4156,U+5E3C,帼,巾 囗 玉
4157,U+5E3D,帽,巾 ⺜ 目
4158,U+5E3E,帾,巾 耂 日
4159,U+5E3F,帿,巾 亻 &CDP-8BC7;
4160,U+5E40,幀,巾 ⺊ 貝
4161,U+5E41,幁,巾 頁
4162,U+5E42,幂,𠖇 巾
4163,U+5E43,幃,巾 韋
4164,U+5E44,幄,巾 尸 &I-GT-03877; 土
4165,U+5E45,幅,巾 𠮛 田
4166,U+5E46,幆,巾 曰 勹 𠃊 人
4167,U+5E47,幇,土 土 寸 巾
4168,U+5E48,幈,巾 尸 丶 丿 一 廾
4169,U+5E49,幉,巾 世 木
4170,U+5E4A,幊,巾 工 貝
4171,U+5E4B,幋,舟 几 又 巾
4172,U+5E4C,幌,巾 日 ⺌ 一 儿
4173,U+5E4D,幍,巾 爫 臼
4174,U+5E4E,幎,巾 冖 日 亠 &GT-K00059;
4175,U+5E4F,幏,巾 宀 豕
4176,U+5E50,幐,月 龹 巾
4177,U+5E51,幑,彳 山 丿 巾 攵
4178,U+5E52,幒,巾 丿 口 タ 心
4179,U+5E53,幓,巾 𠫯 彡
4180,U+5E54,幔,巾 &CDP-8CBF; 又
4181,U+5E55,幕,艹 日 大 巾
4182,U+5E56,幖,巾 覀 示
4183,U+5E57,幗,巾 囗 戈 &CDP-8BE2;
4184,U+5E58,幘,巾 龶 貝
4185,U+5E59,幙,巾 艹 日 大
4186,U+5E5A,幚,丰 ⻏ 白 巾
4187,U+5E5B,幛,巾 立 日 十
4188,U+5E5C,幜,巾 日 亠 口 小
4189,U+5E5D,幝,巾 口 口 &CDP-8BD9;
4190,U+5E5E,幞,巾 业 䒑 夫
4191,U+5E5F,幟,巾 音 戈
4192,U+5E60,幠,巾 &CDP-8BBE; 灬
4193,U+5E61,幡,巾 釆 田
4194,U+5E62,幢,巾 立 田 土
4195,U+5E63,幣,㡀 攵 巾
4196,U+5E64,幤,⺌ 冂 口 攵 巾
4197,U+5E65,幥,巾 &GT-K05014; 手
4198,U+5E66,幦,𡰪 辛 巾
4199,U+5E67,幧,巾 口 口 口 木
4200,U+5E68,幨,巾 ⺈ 厂 &CDP-8CC3;
4201,U+5E69,幩,巾 十 廾 貝
4202,U+5E6A,幪,巾 艹 冖 一 豕
4203,U+5E6B,幫,土 土 寸 白 巾
4204,U+5E6C,幬,巾 &CDP-8D53; 一 口 寸
4205,U+5E6D,幭,巾 𦭝 戊 丶
4206,U+5E6E,幮,巾 广 十 豆 寸
4207,U+5E6F,幯,巾 竹 &CDP-8B7C; 卩
4208,U+5E70,幰,巾 𡩜 心
4209,U+5E71,幱,巾 門 柬
4210,U+5E72,干,干
4211,U+5E73,平,平
4212,U+5E74,年,年
4213,U+5E75,幵,干 干
4214,U+5E76,并,丶 丿 一 廾
4215,U+5E77,幷,丿 干 丿 干
4216,U+5E78,幸,土 𢆉
4217,U+5E79,幹,𠦝 𠆢 干
4218,U+5E7A,幺,幺
4219,U+5E7B,幻,幺 𠃌
4220,U+5E7C,幼,幺 力
4221,U+5E7D,幽,山 𢆶
4222,U+5E7E,幾,&CDP-8BA4; 人
4223,U+5E7F,广,广
4224,U+5E80,庀,广 匕
4225,U+5E81,庁,广 丁
4226,U+5E82,庂,广 人
4227,U+5E83,広,广 厶
4228,U+5E84,庄,广 土
4229,U+5E85,庅,广 丿 厶
4230,U+5E86,庆,广 大
4231,U+5E87,庇,广 比
4232,U+5E88,庈,广 𠆢 𪜊
4233,U+5E89,庉,广 屯
4234,U+5E8A,床,广 木
4235,U+5E8B,庋,广 十 又
4236,U+5E8C,庌,广 牙
4237,U+5E8D,庍,广 斤
4238,U+5E8E,庎,广 𠆢 &CDP-89AB;
4239,U+5E8F,序,广 予
4240,U+5E90,庐,广 户
4241,U+5E91,庑,广 无
4242,U+5E92,庒,广 土 丶
4243,U+5E93,库,广 车
4244,U+5E94,应,广 𭕄 一
4245,U+5E95,底,广 氏 丶
4246,U+5E96,庖,广 勹 巳
4247,U+5E97,店,广 ⺊ 囗
4248,U+5E98,庘,广 甲
4249,U+5E99,庙,广 由
4250,U+5E9A,庚,广 &CDP-8DE2;
4251,U+5E9B,庛,广 止 匕
4252,U+5E9C,府,广 亻 寸
4253,U+5E9D,庝,广 夂 &CDP-8971;
4254,U+5E9E,庞,广 龙
4255,U+5E9F,废,广 &CDP-89F6; 丶 又
4256,U+5EA0,庠,广 羊
4257,U+5EA1,庡,广 衣
4258,U+5EA2,庢,广 &I-GT-03877; 土
4259,U+5EA3,庣,广 兆
4260,U+5EA4,庤,广 土 寸
4261,U+5EA5,庥,广 亻 木
4262,U+5EA6,度,广 &CDP-8C46;
4263,U+5EA7,座,广 土 人 人
4264,U+5EA8,庨,广 耂 子
4265,U+5EA9,庩,广 &CDP-8AFC; 朩
4266,U+5EAA,庪,广 扌 十 又
4267,U+5EAB,庫,广 車
4268,U+5EAC,庬,广 尤 彡
4269,U+5EAD,庭,广 廴 𡈼
4270,U+5EAE,庮,广 酉
4271,U+5EAF,庯,广 甫
4272,U+5EB0,庰,广 丶 丿 一 廾
4273,U+5EB1,庱,广 土 &GT-K00059; 夂
4274,U+5EB2,庲,广 來
4275,U+5EB3,庳,广 &CDP-89BE; 十
4276,U+5EB4,庴,广 龷 日
4277,U+5EB5,庵,广 大 电
4278,U+5EB6,庶,广 &CDP-8D67;
4279,U+5EB7,康,广 隶
4280,U+5EB8,庸,广 𬎾
4281,U+5EB9,庹,广 廿 尺
4282,U+5EBA,庺,广 八 厶 木
4283,U+5EBB,庻,广 廿 人 人
4284,U+5EBC,庼,广 &CDP-895F; 页
4285,U+5EBD,庽,广 禺
4286,U+5EBE,庾,广 臾
4287,U+5EBF,庿,广 艹 田
4288,U+5EC0,廀,广 宀 火 又
4289,U+5EC1,廁,广 貝 刂
4290,U+5EC2,廂,广 木 目
4291,U+5EC3,廃,广 癶 &CDP-89FD;
4292,U+5EC4,廄,广 &CDP-8B7C; 几 又
4293,U+5EC5,廅,广 土 厶 皿
4294,U+5EC6,廆,广 鬼
4295,U+5EC7,廇,广 &CDP-8C69; 田
4296,U+5EC8,廈,广 𦣻 夂
4297,U+5EC9,廉,广 䒑 &CDP-8CDE;
4298,U+5ECA,廊,广 丶 艮 ⻏
4299,U+5ECB,廋,广 𦥔 又
4300,U+5ECC,廌,&CDP-8D56; &CDP-8DBF;
4301,U+5ECD,廍,广 立 口 ⻏
4302,U+5ECE,廎,广 &CDP-895F; 頁
4303,U+5ECF,廏,广 𣪘
4304,U+5ED0,廐,广 旣
4305,U+5ED1,廑,广 廿 &CDP-8A6D;
4306,U+5ED2,廒,广 &CDP-8DB2; 攵
4307,U+5ED3,廓,广 亠 口 子 ⻏
4308,U+5ED4,廔,广 &CDP-89C5; 女
4309,U+5ED5,廕,广 ⻖ 𠆢 𪜊 二 厶
4310,U+5ED6,廖,广 羽 㐱
4311,U+5ED7,廗,广 &CDP-8C4B; 冖 巾
4312,U+5ED8,廘,广 鹿
4313,U+5ED9,廙,广 田 龷 &GT-K00059;
4314,U+5EDA,廚,广 十 豆 寸
4315,U+5EDB,廛,广 &CDP-8DC3;
4316,U+5EDC,廜,广 尸 耂 日
4317,U+5EDD,廝,广 &CDP-8B72; &GT-K00059; 斤
4318,U+5EDE,廞,广 金 欠
4319,U+5EDF,廟,广 𠦝 月
4320,U+5EE0,廠,广 ⺌ 冂 口 攵
4321,U+5EE1,廡,广 &CDP-8BBE; 灬
4322,U+5EE2,廢,广 癶 &CDP-8B7D;
4323,U+5EE3,廣,广 黃
4324,U+5EE4,廤,广 車 口 𠤎
4325,U+5EE5,廥,广 &CDP-8AFC; &CDP-8B63;
4326,U+5EE6,廦,广 𡰪 辛
4327,U+5EE7,廧,广 &CDP-8D5B; 囗 口
4328,U+5EE8,廨,广 角 &CDP-8C68;
4329,U+5EE9,廩,广 㐭 禾
4330,U+5EEA,廪,广 㐭 示
4331,U+5EEB,廫,广 ⺼ 羽 㐱
4332,U+5EEC,廬,广 虍 &CDP-8CF4;
4333,U+5EED,廭,广 禾 龶 貝
4334,U+5EEE,廮,广 貝 貝 女
4335,U+5EEF,廯,广 魚 羊
4336,U+5EF0,廰,广 耳 &HD-TK-01032130;
4337,U+5EF1,廱,广 巛 邑 隹
4338,U+5EF2,廲,广 &GT-00145; 鹿
4339,U+5EF3,廳,广 &CDP-8BD1; 𢛳
4340,U+5EF4,廴,廴
4341,U+5EF5,廵,廴 巛
4342,U+5EF6,延,廴 &CDP-8D62;
4343,U+5EF7,廷,廴 𡈼
4344,U+5EF8,廸,廴 由
4345,U+5EF9,廹,廴 白
4346,U+5EFA,建,廴 聿
4347,U+5EFB,廻,廴 囗 口
4348,U+5EFC,廼,廴 西
